City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
7,Cockburn Town,TC,78.98,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
9,Sao Joao Da Barra,BR,72.18,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
13,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
15,Kailua,US,82.38,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
16,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
17,Bucerias,MX,77.99,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
19,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
23,Calabozo,VE,81.77,overcast clouds,8.9242,-67.4293,Hotel Giardini
26,Odweyne,SO,77.43,scattered clouds,9.4092,45.064,Eng Hiirey House
27,Hilo,US,75.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
33,Dedougou,BF,82.94,scattered clouds,12.4667,-3.4667,Hôtel Bon Séjour
35,Atuona,PF,78.21,light rain,-9.8,-139.0333,Villa Enata
41,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
44,Labuhan,ID,87.57,overcast clouds,-6.8844,112.2051,DoubleFAG
45,Hutchinson,US,71.55,broken clouds,38.0608,-97.9298,Hampton Inn Hutchinson
48,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
50,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
51,Sao Filipe,CV,74.98,broken clouds,14.8961,-24.4956,Hotel Xaguate
52,Manakara,MG,70.39,clear sky,-22.1333,48.0167,La Residence Manakara
53,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
56,Rikitea,PF,76.48,overcast clouds,-23.1203,-134.9692,People ThankYou
64,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
66,Meulaboh,ID,78.57,overcast clouds,4.1363,96.1285,Kost Pria
70,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
73,Bengkulu,ID,85.55,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
77,Clarence Town,AU,74.61,overcast clouds,-32.5833,151.7833,River Downs Cottage
80,Buchanan,LR,77.65,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
84,Esna,EG,78.82,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
85,Roebourne,AU,83.77,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
86,Monrovia,LR,74.97,overcast clouds,6.3005,-10.7969,Sunset Inn
87,Sinnamary,GF,77.56,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
88,Hithadhoo,MV,82.63,broken clouds,-0.6,73.0833,Scoop Guest House
89,Eyl,SO,86.9,clear sky,7.9803,49.8164,Amiin Hotel
96,Ilhabela,BR,70.77,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
98,Arraial Do Cabo,BR,72.77,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
101,Morant Bay,JM,80.22,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
104,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
107,Mumford,GH,79.16,light rain,5.2618,-0.759,Spanish Villa
